customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-000001,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.87,1733.96,No
7590-000002,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),72.02,1732.66,No
7590-000003,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,48.53,2915.16,No
7590-000004,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.94,606.88,No
7590-000005,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,76.45,2517.67,No
7590-000006,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,32.58,261.84,No
7590-000007,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.43,2567.72,No
7590-000008,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,57.42,385.07,No
7590-000009,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.76,943.55,No
7590-000010,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.42,2012.27,No
7590-000011,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.24,2115.31,Yes
7590-000012,Male,0,Yes,No,67,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,58.74,3916.38,No
7590-000013,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.39,3208.45,No
7590-000014,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.05,4653.42,No
7590-000015,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.0,1052.35,No
7590-000016,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,71.83,2582.06,No
7590-000017,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),69.1,3001.96,No
7590-000018,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.99,92.19,No
7590-000019,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.86,796.28,No
